Champion	Beats
Aatrox	Syndra
Ahri	Azir
Akali	Yasuo
Alistar	Galio
Amumu	Blitzcrank
Anivia	Yasuo
Annie	Yasuo
Ashe	Ezreal
Azir	Zed
Bard	Thresh
Blitzcrank	Thresh
Brand	Gnar
Braum	Ryze
Caitlyn	Lucian
Cassiopeia	Dr.Mundo
ChoGath	Poppy
Corki	Lucian
Darius	Poppy
Diana	Viktor
Dr.Mundo	Illaoi
Draven	Lucian
Ekko	Gragas
Elise	LeeSin
Evelynn	Ashe
Ezreal	Lucian
Fiddlesticks	Karthus
Fiora	Poppy
Fizz	Yasuo
Galio	Jayce
Gangplank	Poppy
Garen	Nocturne
Gnar	Poppy
Gragas	Caitlyn
Graves	Vayne
Hecarim	Riven
Heimerdinger	Skarner
Illaoi	Poppy
Irelia	Vladimir
Janna	Thresh
Jarvan	Akali
Jax	Renekton
Jayce	Shyvana
Jinx	Vayne
Kalista	Lucian
Karma	Sejuani
Karthus	Jarvan
Kassadin	Vladimir
Katarina	Zed
Kayle	Zed
Kennen	Ryze
KhaZix	Lucian
Kindred	Caitlyn
KogMaw	Vayne
LeBlanc	Rengar
LeeSin	Poppy
Leona	Warwick
Lissandra	Tryndamere
Lucian	Vayne
Lulu	LeBlanc
Lux	Yasuo
Malphite	Irelia
Malzahar	Yasuo
Maokai	Sejuani
MasterYi	MissFortune
MissFortune	Lucian
Mordekaiser	Akali
Morgana	Veigar
Nami	Thresh
Nasus	Poppy
Nautilus	Kayle
Nidalee	LeeSin
Nocturne	LeeSin
Nunu	ChoGath
Olaf	Renekton
Orianna	Yasuo
Pantheon	Fiora
Poppy	Irelia
Quinn	LeeSin
Rammus	Twitch
RekSai	Xerath
Renekton	Yorick
Rengar	LeeSin
Riven	Poppy
Rumble	Volibear
Ryze	Fiora
Sejuani	Ahri
Shaco	LeeSin
Shen	Renekton
Shyvana	Brand
Singed	Illaoi
Sion	Gragas
Sivir	Lucian
Skarner	Lulu
Sona	Poppy
Soraka	ChoGath
Swain	Nasus
Syndra	Yasuo
TahmKench	Thresh
Talon	Azir
Taric	LeeSin
Teemo	Quinn
Thresh	Evelynn
Tristana	Lucian
Trundle	Illaoi
Tryndamere	Poppy
TwistedFate	Kassadin
Twitch	Lucian
Udyr	Trundle
Urgot	Illaoi
Varus	Lucian
Vayne	Lucian
Veigar	Jarvan
VelKoz	Azir
Vi	Illaoi
Viktor	Yasuo
Vladimir	Alistar
Volibear	Zed
Warwick	Annie
Wukong	KhaZix
Xerath	Yasuo
XinZhao	Jinx
Yasuo	Shaco
Yorick	Gragas
Zac	Lucian
Zed	Yasuo
Ziggs	Lucian
Zilean	Xerath
Zyra	Thresh
