Champion	Is beat by
Aatrox	Orianna
Ahri	Zed
Akali	Zed
Alistar	Janna
Amumu	LeeSin
Anivia	Zed
Annie	Quinn
Ashe	VelKoz
Azir	Ahri
Bard	Janna
Blitzcrank	Janna
Brand	Blitzcrank
Braum	Janna
Caitlyn	Vayne
Cassiopeia	Lux
ChoGath	Annie
Corki	Lucian
Darius	Annie
Diana	Zed
Dr.Mundo	LeeSin
Draven	MissFortune
Ekko	Ahri
Elise	LeeSin
Evelynn	LeeSin
Ezreal	Lucian
Fiddlesticks	Amumu
Fiora	Malphite
Fizz	Ahri
Galio	Zyra
Gangplank	Malphite
Garen	Riven
Gnar	Malphite
Gragas	LeeSin
Graves	Lucian
Hecarim	Malphite
Heimerdinger	Veigar
Illaoi	Trundle
Irelia	Malphite
Janna	Thresh
Jarvan	LeeSin
Jax	Malphite
Jayce	Sion
Jinx	Lucian
Kalista	MissFortune
Karma	Maokai
Karthus	LeBlanc
Kassadin	Ahri
Katarina	Ahri
Kayle	TwistedFate
Kennen	Zilean
KhaZix	LeeSin
Kindred	LeeSin
KogMaw	Lulu
LeBlanc	Zed
LeeSin	Rengar
Leona	Janna
Lissandra	Kindred
Lucian	Tristana
Lulu	Zed
Lux	Ahri
Malphite	Shen
Malzahar	Brand
Maokai	RekSai
MasterYi	LeeSin
MissFortune	Lucian
Mordekaiser	Gangplank
Morgana	Soraka
Nami	Gangplank
Nasus	Sion
Nautilus	Janna
Nidalee	LeeSin
Nocturne	Volibear
Nunu	Lulu
Olaf	Malphite
Orianna	Zed
Pantheon	Heimerdinger
Poppy	Gangplank
Quinn	LeeSin
Rammus	LeeSin
RekSai	LeeSin
Renekton	Shen
Rengar	LeeSin
Riven	Renekton
Rumble	Gangplank
Ryze	Aatrox
Sejuani	LeeSin
Shaco	LeeSin
Shen	Fiora
Shyvana	LeeSin
Singed	TwistedFate
Sion	LeBlanc
Sivir	Blitzcrank
Skarner	LeeSin
Sona	Draven
Soraka	Janna
Swain	Lucian
Syndra	Zed
TahmKench	Janna
Talon	Zed
Taric	Thresh
Teemo	Morgana
Thresh	Janna
Tristana	Lucian
Trundle	Malphite
Tryndamere	Jayce
TwistedFate	Zed
Twitch	Lucian
Udyr	Rengar
Urgot	Jax
Varus	Lucian
Vayne	Lucian
Veigar	Ahri
VelKoz	Zed
Vi	LeeSin
Viktor	Zed
Vladimir	Dr.Mundo
Volibear	LeeSin
Warwick	LeeSin
Wukong	Gangplank
Xerath	Talon
XinZhao	RekSai
Yasuo	Zed
Yorick	Renekton
Zac	LeeSin
Zed	Ahri
Ziggs	Ahri
Zilean	Draven
Zyra	Thresh
